train_size,model,accuracy_1,accuracy_2,accuracy_3
1.0,Baseline,0.912,0.912,0.912
1.0,Vapnik,0.912,0.912,0.912
1.0,Projections,0.912,0.912,0.92
1.0,Hyperplanes,0.88,0.92,0.88
0.5,Baseline,0.896,0.896,0.896
0.5,Vapnik,0.896,0.896,0.896
0.5,Projections,0.84,0.896,0.896
0.5,Hyperplanes,0.88,0.896,0.864
0.1,Baseline,0.864,0.864,0.864
0.1,Vapnik,0.848,0.848,0.848
0.1,Projections,0.856,0.864,0.784
0.1,Hyperplanes,0.768,0.8,0.528
1.0,Baseline,0.912,0.912,0.912
1.0,Vapnik,0.912,0.912,0.912
1.0,Projections,0.912,0.92,0.92
1.0,Hyperplanes,0.912,0.904,0.896
0.5,Baseline,0.912,0.912,0.912
0.5,Vapnik,0.912,0.912,0.912
0.5,Projections,0.912,0.912,0.912
0.5,Hyperplanes,0.872,0.88,0.864
0.1,Baseline,0.888,0.888,0.888
0.1,Vapnik,0.888,0.888,0.888
0.1,Projections,0.856,0.664,0.888
0.1,Hyperplanes,0.824,0.832,0.528
1.0,Baseline,0.92,0.92,0.92
1.0,Vapnik,0.92,0.92,0.92
1.0,Projections,0.92,0.92,0.92
1.0,Hyperplanes,0.912,0.888,0.92
0.5,Baseline,0.92,0.92,0.92
0.5,Vapnik,0.92,0.92,0.92
0.5,Projections,0.896,0.92,0.92
0.5,Hyperplanes,0.576,0.856,0.904
0.1,Baseline,0.904,0.904,0.904
0.1,Vapnik,0.896,0.896,0.896
0.1,Projections,0.816,0.904,0.904
0.1,Hyperplanes,0.872,0.816,0.872
